timestamp,TP2,TP3,H1,DV_pressure,Reservoirs,Oil_temperature,Flowmeter,Motor_current,COMP,DV_eletric,Towers,MPG,LPS,Pressure_switch,Oil_level,Caudal_impulses,gpsLong,gpsLat,gpsSpeed,gpsQuality
2022-01-01 06:00:00,-0.0120000000000004,9.758,9.76,-0.0279999999999986,1.5760000000000003,63.35,19.049625,3.955,1,0,1,1,0,0,0,0,-8.65934,41.2124,0,1
2022-01-01 06:00:01,-0.0120000000000004,9.76,9.76,-0.0279999999999986,1.5779999999999994,63.25,19.049625,4.0275,1,0,1,1,0,0,0,0,-8.65934,41.2124,0,1
2022-01-01 06:00:02,-0.009999999999998,9.76,9.76,-0.0279999999999986,1.5779999999999994,63.325,19.04028125,3.945,1,0,1,1,0,0,0,0,-8.65934,41.2124,0,1
2022-01-01 06:00:03,-0.0120000000000004,9.756,9.756,-0.0300000000000011,1.5760000000000003,63.19999999999999,19.04028125,3.93,1,0,1,1,0,0,0,0,-8.65934,41.2124,0,1
2022-01-01 06:00:04,-0.0120000000000004,9.756,9.756,-0.0300000000000011,1.5779999999999994,63.14999999999999,19.049625,3.994999999999999,1,0,1,1,0,0,0,0,-8.65934,41.2124,0,1
2022-01-01 06:00:05,-0.0120000000000004,9.754,9.754,-0.0300000000000011,1.5760000000000003,63.07499999999999,19.049625,3.994999999999999,1,0,1,1,0,0,0,0,-8.65934,41.2124,0,1
2022-01-01 06:00:06,-0.0120000000000004,9.754,9.754,-0.0279999999999986,1.5779999999999994,62.99999999999999,19.049625,3.9475,1,0,1,1,0,0,0,0,-8.65935,41.2124,0,1
2022-01-01 06:00:07,-0.009999999999998,9.752,9.754,-0.0279999999999986,1.5760000000000003,63.07499999999999,19.04028125,4.022500000000001,1,0,1,1,0,0,0,0,-8.65935,41.2124,0,1
2022-01-01 06:00:08,-0.0120000000000004,9.752,9.752,-0.0279999999999986,1.5760000000000003,63.07499999999999,19.049625,3.952500000000001,1,0,1,1,0,0,0,0,-8.65935,41.2124,0,1
2022-01-01 06:00:09,-0.009999999999998,9.75,9.75,-0.0279999999999986,1.5760000000000003,62.99999999999999,19.049625,3.924999999999999,1,0,1,1,0,0,0,0,-8.65935,41.2124,0,1
